Subject,Repository,Organization,Description,Primary Language,All Languages,Build System,Archived,Size (KB),Internal Dependencies,Dependency Evidence,Build Files,Topics,Error
opencog/.github,opencog/.github,opencog,Community health files for the @opencog organization,none,none,none,,40,none,none,none,none,
opencog/TinyCog,opencog/TinyCog,opencog,"A framework for embodied AI, including vision, audition, motor control and NLP. The framework is meant to be small and simple, so that it can run on small embedded systems, such as the Raspberry Pi 3.",C++,"C++:46%,Scheme:35%,CMake:17%,Shell:2%",cmake,,145480,atomspace,find_package(AtomSpace),"CMakeLists.txt,InstallDeps.sh,run.sh","audio,embedded-systems,motor-controller,robot-framework,robotics,rpi,rpi3-computer,sense,speech-recognition,speech-synthesis,toy,vision",
opencog/agents,opencog/agents,opencog,Guile Scheme agents for OpenCog,Scheme,"Scheme:88%,CMake:12%",none,,104,none,No build files found,none,none,
opencog/agi-bio,opencog/agi-bio,opencog,"OpenCog components for bioinformatics, systems biology, and computational genetics.",Scheme,"Scheme:99%,Python:1%",cmake,,156772,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,"artificial-intelligence,genetic-analysis,genetics,genomics,protein-sequences,proteomics",
opencog/asmoses,opencog/asmoses,opencog,"MOSES is a C++ application for learning expressions in the Atomese language, the knowledge representation of the OpenCog AGI project. It uses a meta-optimizing semantic evolutionary search algorithm, hence the name.",C++,"C++:92%,Roff:3%,CMake:3%,Python:1%,Scheme:1%",cmake,,141491,cogutil,find_package(CogUtil CONFIG REQUIRED),CMakeLists.txt,"atomspace,genetic-algorithm,genetic-optimization-algorithm,genetic-programming,machine-learning",
opencog/atomese-simd,opencog/atomese-simd,opencog,The OpenCog AtomSpace (hypergraph) implemented with SIMD,C++,"C++:72.8%,CMake:15.3%,Scheme:7.2%,C:4.6%,Cuda:0.1%",cmake,,473,"cogutil,atomspace",find_package(CogUtil REQUIRED) and find_package(AtomSpace REQUIRED) in CMakeLists.txt,CMakeLists.txt,"atomspace,gpu,opencl,opencog",
opencog/atomspace,opencog/atomspace,opencog,"The OpenCog hypergraph database, query engine and generic rule engine",C++,"C++:57%,Scheme:28%,Python:7%,CMake:4%,Cython:2%",cmake,,174080,cogutil,find_package(CogUtil) in CMakeLists.txt,CMakeLists.txt,"atomspace,graph-database,graph-rewriting,knowledge-base,knowledge-graph,knowledge-representation,logic-programming,query-engine,query-language,relational-algebra,relational-database,rewrite-system,rewriting",
opencog/atomspace-agents,opencog/atomspace-agents,opencog,Agents for the OpenCog AtomSpace,CMake,CMake:100%,cmake,True,52,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,"agents,atomspace",
opencog/atomspace-bridge,opencog/atomspace-bridge,opencog,A prototype for a PostgreSQL-backed AtomSpace.,C++,"C++:75%,CMake:20%,Scheme:4%",cmake,,222,"cogutil,atomspace",find_package(CogUtil REQUIRED) and find_package(AtomSpace REQUIRED) in CMakeLists.txt,CMakeLists.txt,"atomspace,database,postgresql,sql",
opencog/atomspace-cog,opencog/atomspace-cog,opencog,Client-side library for connecting to a remote AtomSpace,C++,"C++:67%,Scheme:22%,CMake:11%",cmake,,698,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,"atomspace,distributed,network,opencog",
opencog/atomspace-dht,opencog/atomspace-dht,opencog,"Distributed, persistent atomspace, using OpenDHT",C++,"C++:80%,CMake:13%,Scheme:7%",cmake,True,378,cogutil,find_package in CMakeLists.txt,CMakeLists.txt,"atomspace,database,graph-database,opencog,opendht,opendht-database",
opencog/atomspace-explorer,opencog/atomspace-explorer,opencog,A tool for visualizing and exploring the contents of an OpenCog atomspace.,CSS,"CSS:53%,JavaScript:37%,SCSS:5%,TypeScript:3%,HTML:2%",package.json,,4420,none,Dependencies found in package.json,"package.json,angular-cli.json,karma.conf.js,protractor.conf.js,semantic.json,tsconfig-aot.json,tslint.json,typings.json","atomspace,visualization",
opencog/atomspace-gpu,opencog/atomspace-gpu,opencog,"The OpenCog AtomSpace, running on a GPU",Cuda,"Cuda:45%,C:45%,C++:7%,CMake:2%,Scheme:1%",cmake,,212,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,,
opencog/atomspace-ipfs,opencog/atomspace-ipfs,opencog,"Decentralized, distributed, persistent, versioned, immutable AtomSpace using IPFS.",C++,"C++:82%,CMake:11%,Scheme:7%",cmake,,314,cogutil,find_package(CogUtil ... REQUIRED),CMakeLists.txt,"atoms,atomspace,database,graph-database,ipfs,opencog",
opencog/atomspace-js,opencog/atomspace-js,opencog,Javascript bindings to the AtomSpace,none,none,none,True,19,none,No build files found,"LICENSE,README.md",none,
opencog/atomspace-metta,opencog/atomspace-metta,opencog,C++ implementation of the MeTTa (Meta Type Talk) language,C++,"C++:59%,CMake:37%,Scheme:4%",cmake,,48,cogutil,find_package() in CMakeLists.txt,CMakeLists.txt,none,
opencog/atomspace-pgres,opencog/atomspace-pgres,opencog,PostgreSQL backend for the AtomSpace,C++,"C++:87%,CMake:11%,Scheme:3%",cmake,,8456,"cogutil,atomspace",find_package() in CMakeLists.txt,CMakeLists.txt,none,
opencog/atomspace-restful,opencog/atomspace-restful,opencog,A REST-ful API for the OpenCog AtomSpace,Python,"Python:62%,C++:22%,CMake:14%,HTML:1%,CSS:0%",cmake,True,51050,cogutil,find_package in CMakeLists.txt,CMakeLists.txt,"atomspace,rest-api,restful-api",
opencog/atomspace-rocks,opencog/atomspace-rocks,opencog,"A persistence layer for the OpenCog AtomSpace, using RocksDB",C++,"C++:50%,Scheme:44%,CMake:5%,C:0%,Cython:0%",cmake,,1190,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,"atomspace,file,opencog,persistance",
opencog/atomspace-rpc,opencog/atomspace-rpc,opencog,gRPC based RPC for OpenCog AtomSpace,C++,"C++:74%,CMake:16%,Dockerfile:6%,Scheme:3%",cmake,,115,"cogutil,atomspace",find_package in CMakeLists.txt,"CMakeLists.txt,Dockerfile","atomspace,grpc,opencog",
opencog/atomspace-storage,opencog/atomspace-storage,opencog,Storage options for the AtomSpace.,C++,"C++:77%,Tree-sitter Query:12%,CMake:5%,Scheme:5%,Python:1%,Cython:0%",cmake,,3724,cogutil,find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/atomspace-typescript,opencog/atomspace-typescript,opencog,A simple AtomSpace visualizer,TypeScript,"TypeScript:89%,JavaScript:8%,HTML:2%,CSS:1%",package.json,,955,none,package.json,"package.json,package-lock.json",none,
opencog/atomspace-viz,opencog/atomspace-viz,opencog,Web-based AtomSpace Visualizer,JavaScript,"JavaScript:71%,HTML:14%,CSS:7%,Scheme:4%,Tree-sitter Query:3%,CMake:2%",cmake,,534,"atomspace,atomspace-rocks",find_package() in CMakeLists.txt,CMakeLists.txt,none,
opencog/atomspace-websockets,opencog/atomspace-websockets,opencog,An AtomSpace server that uses websockets for communication.,C++,"C++:76%,CMake:22%,Scheme:2%",cmake,,179,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,none,
opencog/attention,opencog/attention,opencog,The OpenCog Attention Allocation Subsystem,C++,"C++:82%,CMake:8%,Scheme:5%,Python:3%,Cython:2%",cmake,,745,cogutil,find_package(CogUtil),CMakeLists.txt,,
opencog/benchmark,opencog/benchmark,opencog,High-performance pattern matching benchmark tests,Scheme,Scheme:100%,cmake,,15017,"cogutil,atomspace",find_package in CMakeLists.txt,CMakeLists.txt,"atomspace,benchmark,pattern-matcher",
opencog/blender_api,opencog/blender_api,opencog,OpenCog avatar API for Blender,Python,"Python:99.8%,Shell:0.2%",none,,14904,none,Inspected run.sh and autostart.py,"run.sh,autostart.py",none,
